country,iso3_code,year,continent,ahdi,life_exp,schooling,democracy,gdp,gini,co2_per_capita
Finland,FIN,2010,Europe,0.7236687047863504,0.6150105233538141,0.5980274101375409,0.842,0.885611890720569,27.7,11.950002
Finland,FIN,2015,Europe,0.7116709747417159,0.6943318733240288,0.5064423959607716,0.827,0.8820929442458157,27.1,8.064647
Finland,FIN,2020,Europe,0.789771397832942,0.7263296886934295,0.7214154342674404,0.834,0.8902671098560446,27.1,6.82145
France,FRA,1990,Europe,0.6508671047992709,0.4969224739506357,0.5342413259429825,0.804,0.8407891977596371,32.1,6.9293327
France,FRA,2000,Europe,0.6920932748505276,0.5726650208126205,0.5751289886980221,0.806,0.8642861628347225,32.6,6.849684
France,FRA,2005,Europe,0.7227912145135333,0.6312885950199391,0.6132571715789141,0.808,0.8725082067723294,29.8,6.756068
France,FRA,2010,Europe,0.7575455525841734,0.6949814311661315,0.6557803542005822,0.828,0.8727162681706577,33.7,5.945996
France,FRA,2015,Europe,0.7397414966754232,0.7521280379805902,0.5508415192566398,0.824,0.877150810018372,32.7,5.116293
France,FRA,2020,Europe,0.7327829344407024,0.7542398081323801,0.5491914077806543,0.798,0.8722988718457823,30.7,4.271517
Germany,DEU,1995,Europe,0.7197071194074357,0.4890849777733235,0.75807855648719,0.864,0.83755033547428,28.7,11.459825
Germany,DEU,2000,Europe,0.7308025607413909,0.5360352631617594,0.7242710097530454,0.862,0.8523118234459373,28.7,10.990293
Germany,DEU,2005,Europe,0.7496029415531207,0.5814605930547223,0.732231615899196,0.866,0.8563247035291428,31.6,10.57788
Germany,DEU,2010,Europe,0.7665327826747477,0.6186250178114829,0.7403676227542075,0.87,0.866420626696751,30.2,10.22758
Germany,DEU,2015,Europe,0.7816183831513078,0.6436720033604321,0.7804184548812308,0.847,0.8772098500848255,31.4,9.756902
Germany,DEU,2020,Europe,0.8373071032048184,0.6768866735438201,1.0,0.827,0.878046727591498,32.5,7.738692
Ghana,GHA,2005,Africa,0.3256009239934144,0.2266107893289109,0.1759365335639536,0.636,0.44325004112211414,42.8,0.2723039
Greece,GRC,1995,Europe,0.5791635798032846,0.5278098914802571,0.35650777835144887,0.794,0.7530744930835597,36.5,8.266988
Greece,GRC,2000,Europe,0.6048203633549242,0.5471111762617229,0.3962055583322754,0.793,0.7784599629582585,34.4,9.549867
Greece,GRC,2005,Europe,0.6356294579239143,0.5955651769180196,0.4273559199699301,0.795,0.8067331723341662,34.6,10.371121
