year,row_variable,row_label,col_variable,col_label,correlation,abs_correlation
2000,co2_per_capita,CO₂ per cápita,co2_per_capita,CO₂ per cápita,1.0,1.0
2005,ahdi,AHDI,ahdi,AHDI,1.0,1.0
2005,ahdi,AHDI,life_exp,Esperanza de vida,0.88964500067039,0.88964500067039
2005,ahdi,AHDI,schooling,Educación,0.8747954321928647,0.8747954321928647
2005,ahdi,AHDI,democracy,Democracia,0.8659657433886372,0.8659657433886372
2005,ahdi,AHDI,gdp,PIB per cápita,0.9508076981791591,0.9508076981791591
2005,ahdi,AHDI,gini,Desigualdad (Gini),-0.4862164840070583,0.4862164840070583
2005,ahdi,AHDI,co2_per_capita,CO₂ per cápita,0.7966052913814398,0.7966052913814398
2005,life_exp,Esperanza de vida,ahdi,AHDI,0.88964500067039,0.88964500067039
2005,life_exp,Esperanza de vida,life_exp,Esperanza de vida,1.0,1.0
2005,life_exp,Esperanza de vida,schooling,Educación,0.7101777297496998,0.7101777297496998
2005,life_exp,Esperanza de vida,democracy,Democracia,0.6726980428795151,0.6726980428795151
2005,life_exp,Esperanza de vida,gdp,PIB per cápita,0.9140481920432448,0.9140481920432448
2005,life_exp,Esperanza de vida,gini,Desigualdad (Gini),-0.5002496303668167,0.5002496303668167
2005,life_exp,Esperanza de vida,co2_per_capita,CO₂ per cápita,0.7034687071171785,0.7034687071171785
2005,schooling,Educación,ahdi,AHDI,0.8747954321928647,0.8747954321928647
2005,schooling,Educación,life_exp,Esperanza de vida,0.7101777297496998,0.7101777297496998
2005,schooling,Educación,schooling,Educación,1.0,1.0
2005,schooling,Educación,democracy,Democracia,0.602483993339209,0.602483993339209
2005,schooling,Educación,gdp,PIB per cápita,0.7917958130925892,0.7917958130925892
2005,schooling,Educación,gini,Desigualdad (Gini),-0.5260225146648339,0.5260225146648339
2005,schooling,Educación,co2_per_capita,CO₂ per cápita,0.802534619125016,0.802534619125016
2005,democracy,Democracia,ahdi,AHDI,0.8659657433886372,0.8659657433886372
2005,democracy,Democracia,life_exp,Esperanza de vida,0.6726980428795151,0.6726980428795151
2005,democracy,Democracia,schooling,Educación,0.602483993339209,0.602483993339209
2005,democracy,Democracia,democracy,Democracia,1.0,1.0
2005,democracy,Democracia,gdp,PIB per cápita,0.7975357312683324,0.7975357312683324
2005,democracy,Democracia,gini,Desigualdad (Gini),-0.26329576795248955,0.26329576795248955
2005,democracy,Democracia,co2_per_capita,CO₂ per cápita,0.6011949805887171,0.6011949805887171
2005,gdp,PIB per cápita,ahdi,AHDI,0.9508076981791591,0.9508076981791591
2005,gdp,PIB per cápita,life_exp,Esperanza de vida,0.9140481920432448,0.9140481920432448
2005,gdp,PIB per cápita,schooling,Educación,0.7917958130925892,0.7917958130925892
2005,gdp,PIB per cápita,democracy,Democracia,0.7975357312683324,0.7975357312683324
2005,gdp,PIB per cápita,gdp,PIB per cápita,1.0,1.0
2005,gdp,PIB per cápita,gini,Desigualdad (Gini),-0.4506427803290371,0.4506427803290371
2005,gdp,PIB per cápita,co2_per_capita,CO₂ per cápita,0.8218948896114179,0.8218948896114179
2005,gini,Desigualdad (Gini),ahdi,AHDI,-0.4862164840070583,0.4862164840070583
2005,gini,Desigualdad (Gini),life_exp,Esperanza de vida,-0.5002496303668167,0.5002496303668167
2005,gini,Desigualdad (Gini),schooling,Educación,-0.5260225146648339,0.5260225146648339
2005,gini,Desigualdad (Gini),democracy,Democracia,-0.26329576795248955,0.26329576795248955
2005,gini,Desigualdad (Gini),gdp,PIB per cápita,-0.4506427803290371,0.4506427803290371
